concept_id,english_binding,retrieval_eligible,identification_eligible,retrieved_chunk_ids,gold_chunk_rank,candidate_ids,candidate_summaries,exact_candidate_rank,exact_candidate_score,score_margin,candidate_count,generic_false_positive_count,definition_fragment_count,primary_attribution
cx-7f01,matched,True,True,zh-s12-p01|zh-s12-p03|zh-s14-p01,1,1e6c76eab631f24164488494|b4e7aef6f6d9409878d324ba|370defa6b06ee0c60093c993|4bc33cfa26e16ce6c23cd963|94895743218464b49452d59f|7b9e690c78c6a9a6cc1cc688|37b8695cde14c288969d3521,位移|路程只|速度|冲量|动量|功|功率,1,0.89,0.0,7,0,0,BILINGUAL_SEMANTIC_PAIRING_MISSING
cx-7f02,ambiguous,False,False,,,,,,,,0,0,0,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS
cx-7f03,ambiguous,False,False,,,,,,,,0,0,0,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS
cx-7f04,missing,False,False,,,,,,,,0,0,0,UPSTREAM_ENGLISH_EXTRACTION_MISSING
cx-7f05,matched,True,True,zh-s12-p03|zh-s12-p02|zh-s12-p04,1,fd6e817b1826b9d26efd4a8b|31e518a38ee9eb873aa24073|2f329646e9a0523f6021488c|d8b1edd513b8bec2f84eef20|ad48752c4ea4f706905fac55|b2e5509361deee5eb7191f17,冲量|动量|加速度|惯性|质量|重量,5,0.85,-0.04,6,0,0,BILINGUAL_SEMANTIC_PAIRING_MISSING
cx-7f06,ambiguous,False,False,,,,,,,,0,0,0,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS
cx-7f07,ambiguous,False,False,,,,,,,,0,0,0,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS
cx-7f08,missing,False,False,,,,,,,,0,0,0,UPSTREAM_ENGLISH_EXTRACTION_MISSING
cx-7f09,matched,True,True,zh-s14-p02|zh-s12-p03|zh-s14-p04,1,5e0c43cbc336794a320b5f16|1320c28b04d2cc69a9b85289|55fee9aa952ed8a3c64b14d4|4ad76337f8b1a6b1dbbb441c|3ea11a1b7e2156feb1fe5dcc|ac566156e0badcc03914b6a7|639362b9bf00988672fee460,动能|弹性势能|重力势能|冲量|动量|力|压强,1,0.89,0.0,7,0,0,BILINGUAL_SEMANTIC_PAIRING_MISSING
cx-7f10,matched,True,True,zh-s14-p02|zh-s12-p03|zh-s14-p04,1,6ed77ba1486b82e45b144128|0a6496cb54329df74d7caa24|8e1cfed4997ef57b44103cc6|1e97f84fd36d0be9991d09f8|eb12ee1b34c68ee181b9ab21|09c78e2368e2654d0a5ea84e|23122225d9990eda073b2c7b,动能|弹性势能|重力势能|冲量|动量|力|压强,3,0.89,0.0,7,0,0,BILINGUAL_SEMANTIC_PAIRING_MISSING
cx-7f11,matched,True,True,zh-s14-p01|zh-s14-p04|zh-s11-p01,1,d860088c0388afba3e059354|a08dc7c3534aa0ed73e92b54|c30abe7bedf804e8b53550ac|070b5b8cb1e235906fba9f73|cf10df1777b847b52a0a968c|68320dfc8499d897796c7b72,功|功率|力|压强|力矩|转动惯量,1,0.89,0.0,6,0,0,BILINGUAL_SEMANTIC_PAIRING_MISSING
cx-7f12,matched,True,True,zh-s14-p01|zh-s14-p04|zh-s11-p01,1,7f84bf2c36e7d9d3e9f5a3be|6829e14418ccdaad1db27e2a|562118da8673256ab177bbe2|f272007504d659c4e3f263cb|90930a9b16e365b08223299f|f883932323031a04c1808e96,功|功率|力|压强|力矩|转动惯量,2,0.89,0.0,6,0,0,BILINGUAL_SEMANTIC_PAIRING_MISSING
cx-7f13,matched,True,True,zh-s14-p04|zh-s14-p03|zh-s14-p02,2,a0f72ba40e7d43422397b2b5|ca79e25d3a5aeebd48707157|dd400902de40153ed360e579|4dc7c48716ab3bcd9600af55|562d9c7a12f5099bb38522d6|f4ebb4a472292a74fc328fc1|d8211c7fa59ad77392717bb5,力|压强|机械能|机械能守恒定律|动能|弹性势能|重力势能,3,0.85,-0.04,7,0,0,BILINGUAL_SEMANTIC_PAIRING_MISSING
cx-7f14,matched,True,True,zh-s11-p04|zh-s12-p02|zh-s14-p02,1,e72c13c60962729310bee071|4c256f8edc0fd47cde4fcb87|4a68b15946591ee023dd3a20|010b205e39ee73e6ba400eb1|16d0a8fd3a3a4badc5454917|86cfe3b413a89d8d4e82ab87|b27652689da202f519c5e352|af433a946049bb67ac4537c8,动量守恒定律|向心力|加速度|惯性|质量|动能|弹性势能|重力势能,1,0.89,0.0,8,0,0,BILINGUAL_SEMANTIC_PAIRING_MISSING
cx-7f15,matched,True,True,zh-s14-p02|zh-s14-p03|zh-s14-p04,2,6d2840be1e8b91e614904210|04fc021caa7a4b21244e1fbe|89db9ee4ed7b9633c09c8357|9ea135651560a565c0ceb43b|e3d7c81c4fc479a2febcaa5a|f0ca516acf50350b127d9270|586f9e04a1a28316be9f54fa,动能|弹性势能|重力势能|机械能|机械能守恒定律|力|压强,5,0.85,-0.04,7,0,0,BILINGUAL_SEMANTIC_PAIRING_MISSING
cx-7f16,missing,False,False,,,,,,,,0,0,0,UPSTREAM_ENGLISH_EXTRACTION_MISSING
cx-7f17,matched,True,False,zh-s12-p02|zh-s12-p03|zh-s11-p03,,3e4feebd9bcce915b3221041|5edbef384fd153569b954e8b|b71253ae449cdaf775b26696|7a967d3e74c079ccdd0335b6|455d52730e98fe1767625836|11c061e050bdc32c8abfea42|c492e73bb18ac5b8a2cd8f6f,加速度|惯性|质量|冲量|动量|向心加速度|角速度,,,,7,0,0,UPSTREAM_CROSS_LANGUAGE_RETRIEVAL_MISS
cx-7f18,matched,True,True,zh-s11-p03|zh-s12-p02|zh-s11-p01,1,766eb38f627ae22e6b106791|5159b6fb4916d5f06dc26f2d|591ec8c064866dedd2f19be6|1e50da9b21ae77573440fe7a|fcfcca3de8bd7c12cd0acd93|c79f47c7a19405b4f44ee3af|451f73418ec4c5f870f09267,向心加速度|角速度|加速度|惯性|质量|力矩|转动惯量,2,0.89,0.0,7,0,0,BILINGUAL_SEMANTIC_PAIRING_MISSING
cx-7f19,matched,True,False,zh-s12-p02|zh-s11-p04|zh-s11-p01,,3d8b9dea12fa6ca32743fbdb|804b0c80194c5524182a5d88|7f8061bf90d074defed60374|07e97ab17387b45f2b45dabb|926e88b7c40cf82df430a7c9|75071698a3faf38fb3c647f0|0066ef28c5c063da63aabbcf,加速度|惯性|质量|动量守恒定律|向心力|力矩|转动惯量,,,,7,0,0,UPSTREAM_CROSS_LANGUAGE_RETRIEVAL_MISS
