concept_id,english_binding,retrieval_eligible,identification_eligible,pairing_eligible,gold_chunk_rank,candidate_pool_size,candidate_summaries,exact_candidate_rank,pair_summaries,correct_pair_rank,semantic_score,final_score,score_margin,primary_attribution
cx-7f01,matched,True,True,True,1,7,位移|路程只|速度|冲量|动量|功|功率,1,速度:0.867541|位移:0.866614|路程只:0.858504|动量:0.812812|冲量:0.811656|功:0.805577|功率:0.804048,2,0.858134,0.8666139,-0.000927,BILINGUAL_SEMANTIC_PAIRING_MISS
cx-7f02,ambiguous,False,False,False,,0,,,,,,,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS
cx-7f03,ambiguous,False,False,False,,0,,,,,,,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS
cx-7f04,missing,False,False,False,,0,,,,,,,,UPSTREAM_ENGLISH_EXTRACTION_MISSING
cx-7f05,matched,True,True,True,1,6,冲量|动量|加速度|惯性|质量|重量,5,冲量:0.864886|动量:0.864668|惯性:0.835480|加速度:0.835385|质量:0.834588|重量:0.819034,5,0.85363239,0.83458753,-0.030299,BILINGUAL_SEMANTIC_PAIRING_MISS
cx-7f06,ambiguous,False,False,False,,0,,,,,,,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS
cx-7f07,ambiguous,False,False,False,,0,,,,,,,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS
cx-7f08,missing,False,False,False,,0,,,,,,,,UPSTREAM_ENGLISH_EXTRACTION_MISSING
cx-7f09,matched,True,True,True,1,7,动能|弹性势能|重力势能|冲量|动量|力|压强,1,动能:0.864428|弹性势能:0.861271|重力势能:0.860459|动量:0.833249|冲量:0.830155|力:0.829932|压强:0.824633,1,0.85556213,0.86442781,0.003157,EVIDENCE_QUALIFICATION_MISSING
cx-7f10,matched,True,True,True,1,7,动能|弹性势能|重力势能|冲量|动量|力|压强,3,动能:0.861818|弹性势能:0.859078|重力势能:0.858178|动量:0.827210|冲量:0.824171|力:0.823346|压强:0.818517,3,0.84820994,0.85817845,-0.00364,BILINGUAL_SEMANTIC_PAIRING_MISS
cx-7f11,matched,True,True,True,1,6,功|功率|力|压强|力矩|转动惯量,1,功率:0.874779|功:0.872735|力:0.846003|压强:0.841299|力矩:0.823124|转动惯量:0.820436,2,0.86533496,0.87273472,-0.002044,BILINGUAL_SEMANTIC_PAIRING_MISS
cx-7f12,matched,True,True,True,1,6,功|功率|力|压强|力矩|转动惯量,2,功率:0.876753|功:0.874411|力:0.846181|压强:0.841636|力矩:0.825221|转动惯量:0.822317,1,0.87006275,0.87675334,0.002342,EVIDENCE_QUALIFICATION_MISSING
cx-7f13,matched,True,True,True,2,7,力|压强|机械能|机械能守恒定律|动能|弹性势能|重力势能,3,力:0.859052|压强:0.850805|机械能:0.833057|机械能守恒定律:0.828866|动能:0.814001|重力势能:0.812169|弹性势能:0.810929,3,0.8518318,0.83305703,-0.025995,BILINGUAL_SEMANTIC_PAIRING_MISS
cx-7f14,matched,True,True,True,1,8,动量守恒定律|向心力|加速度|惯性|质量|动能|弹性势能|重力势能,1,动量守恒定律:0.852597|向心力:0.851385|惯性:0.830912|加速度:0.827155|质量:0.826503|动能:0.809814|重力势能:0.807512|弹性势能:0.805854,1,0.84164356,0.85259703,0.001212,EVIDENCE_QUALIFICATION_MISSING
cx-7f15,matched,True,True,True,2,7,动能|弹性势能|重力势能|机械能|机械能守恒定律|力|压强,5,动能:0.848941|重力势能:0.847231|弹性势能:0.846001|机械能:0.828220|机械能守恒定律:0.824870|力:0.815731|压强:0.807547,5,0.84220013,0.82487011,-0.024071,BILINGUAL_SEMANTIC_PAIRING_MISS
