concept_id,english_binding,retrieval_eligible,identification_eligible,pairing_eligible,gold_chunk_rank,candidate_pool_size,candidate_summaries,exact_candidate_rank,pair_summaries,correct_pair_rank,semantic_score,cross_encoder_score,final_score,score_margin,primary_attribution,baseline_error_category
cx-7f01,matched,True,True,True,1,7,位移|路程只|速度|冲量|动量|功|功率,1,位移:4.508663|速度:3.362718|功:3.312385|路程只:3.151107|功率:2.756584|冲量:0.920915|动量:0.717327,1,0.858134,4.44785595,4.50866265,1.145945,EVIDENCE_QUALIFICATION_MISSING,TERM_SCOPE_CONFUSION
cx-7f02,ambiguous,False,False,False,,0,,,,,,,,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS,
cx-7f03,ambiguous,False,False,False,,0,,,,,,,,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS,
cx-7f04,missing,False,False,False,,0,,,,,,,,,UPSTREAM_ENGLISH_EXTRACTION_MISSING,
cx-7f05,matched,True,True,True,1,6,冲量|动量|加速度|惯性|质量|重量,5,冲量:1.897123|动量:1.630803|质量:0.633924|重量:0.535312|惯性:-0.386046|加速度:-0.560323,3,0.85363239,0.57624269,0.63392431,-1.263198,BILINGUAL_SEMANTIC_PAIRING_MISS,AUXILIARY_PRIOR_DOMINANCE
cx-7f06,ambiguous,False,False,False,,0,,,,,,,,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS,
cx-7f07,ambiguous,False,False,False,,0,,,,,,,,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS,
cx-7f08,missing,False,False,False,,0,,,,,,,,,UPSTREAM_ENGLISH_EXTRACTION_MISSING,
cx-7f09,matched,True,True,True,1,7,动能|弹性势能|重力势能|冲量|动量|力|压强,1,动能:2.815926|弹性势能:2.311277|动量:1.856095|冲量:1.738219|重力势能:1.728244|力:1.245450|压强:-0.115230,1,0.85556213,2.75524831,2.81592642,0.504649,EVIDENCE_QUALIFICATION_MISSING,
cx-7f10,matched,True,True,True,1,7,动能|弹性势能|重力势能|冲量|动量|力|压强,3,重力势能:1.846347|动能:1.780443|力:1.318364|弹性势能:1.222254|动量:0.631253|冲量:0.506014|压强:-0.021933,1,0.84820994,1.78603649,1.84634699,0.065904,EVIDENCE_QUALIFICATION_MISSING,TERM_SCOPE_CONFUSION
cx-7f11,matched,True,True,True,1,6,功|功率|力|压强|力矩|转动惯量,1,功:1.779133|功率:1.149370|力:0.168000|力矩:0.052542|压强:-0.880789|转动惯量:-1.635264,1,0.86533496,1.71796596,1.77913271,0.629762,EVIDENCE_QUALIFICATION_MISSING,TERM_SCOPE_CONFUSION
cx-7f12,matched,True,True,True,1,6,功|功率|力|压强|力矩|转动惯量,2,功率:4.606630|力:2.660297|功:2.538395|压强:1.149760|力矩:0.639674|转动惯量:-1.622979,1,0.87006275,4.54522657,4.60662971,1.946333,EVIDENCE_QUALIFICATION_MISSING,
