concept_id,english_binding,retrieval_eligible,identification_eligible,pairing_eligible,gold_chunk_rank,candidate_pool_size,candidate_summaries,exact_candidate_rank,pair_summaries,correct_pair_rank,semantic_score,cross_encoder_score,final_score,score_margin,selected_pair_text,selected_pair_uid,selected_pair_semantic_score,selected_pair_cross_encoder_score,selected_pair_final_score,selected_pair_margin,selected_pair_source_uid,selected_pair_chunk_uid,selected_pair_retrieval_rank,selected_pair_retrieval_score,selected_pair_extraction_rank,selected_pair_extraction_score,selected_pair_backend_id,selected_pair_model_id,selected_pair_model_revision,selected_pair_reranker_backend_id,selected_pair_reranker_model_id,selected_pair_reranker_model_revision,selected_pair_english_hash,selected_pair_chinese_hash,primary_attribution,baseline_error_category,english_source_uid,english_chunk_uid,evidence_qualification_eligible,qualification_decision,qualification_score,qualification_reason_codes,qualification_result_id,false_qualification
cx-7f01,matched,True,True,True,1,7,位移|路程只|速度|冲量|动量|功|功率,1,位移:4.508663|速度:3.362718|功:3.312385|路程只:3.151107|功率:2.756584|冲量:0.920915|动量:0.717327,1,0.858134,4.44785595,4.50866265,1.145945,位移,1e6c76eab631f24164488494,0.858134,4.44785595,4.50866265,1.145945,zh-s12,zh-s12-p01,1,0.79614122,1,0.89,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,37d476b8d8297d92f7cc93f8d3035cdc5c5687bdcff092bb8c466e7a4a90d3e3,65d8696f3b65cab349f54d6ff3aed7f6bad19f61180ecade5d4637558ce41911,PROVIDER_READINESS_NOT_EVALUATED,TERM_SCOPE_CONFUSION,en-s04,en-s04-p04,True,QUALIFIED,0.9562835,,evidence-qualification:dbbafabe4c011317b19f04bd1d529162eb1b4169deaf0a5cf7b0e9aa203d0546,False
cx-7f02,ambiguous,False,False,False,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS,,,,False,,,,,False
cx-7f03,ambiguous,False,False,False,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS,,,,False,,,,,False
cx-7f04,missing,False,False,False,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPSTREAM_ENGLISH_EXTRACTION_MISSING,,,,False,,,,,False
cx-7f05,matched,True,True,True,1,6,冲量|动量|加速度|惯性|质量|重量,5,冲量:1.897123|动量:1.630803|质量:0.633924|重量:0.535312|惯性:-0.386046|加速度:-0.560323,3,0.85363239,0.57624269,0.63392431,-1.263198,冲量,fd6e817b1826b9d26efd4a8b,0.85610156,1.83641744,1.89712252,0.26632,zh-s12,zh-s12-p03,1,0.82162993,1,0.89,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,7d1eb964e91927c84865f700fffdef2629f2cbca0f9fc264edb890ea9b5fca9a,a644ad297b7ccf12e5ab63735b4c5b83aae3edea1f413df118826465972339f5,UPSTREAM_BILINGUAL_SEMANTIC_PAIRING_MISS,AUXILIARY_PRIOR_DOMINANCE,en-s04,en-s04-p01,False,QUALIFIED,0.95577539,,evidence-qualification:0d8b631199370699feef6e13f9898f15a14b0929192973f0ed1aa659884b4964,True
cx-7f06,ambiguous,False,False,False,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS,,,,False,,,,,False
cx-7f07,ambiguous,False,False,False,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS,,,,False,,,,,False
cx-7f08,missing,False,False,False,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPSTREAM_ENGLISH_EXTRACTION_MISSING,,,,False,,,,,False
cx-7f09,matched,True,True,True,1,7,动能|弹性势能|重力势能|冲量|动量|力|压强,1,动能:2.815926|弹性势能:2.311277|动量:1.856095|冲量:1.738219|重力势能:1.728244|力:1.245450|压强:-0.115230,1,0.85556213,2.75524831,2.81592642,0.504649,动能,5e0c43cbc336794a320b5f16,0.85556213,2.75524831,2.81592642,0.504649,zh-s14,zh-s14-p02,1,0.8145464,1,0.89,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,d3054e046b03796f0505d24da11015cc0a9bf99864aa8215ff0eb86937a5fa67,77dd9cedd8a9ad17b3dd66d15929e4ff6990eab604202a695234ab6c6c1867ce,PROVIDER_READINESS_NOT_EVALUATED,,en-s03,en-s03-p02,True,QUALIFIED,0.95564053,,evidence-qualification:731bff2ed76d45f914aa57247ea89fec634cf8672323788df07d7166ebbeb3f8,False
cx-7f10,matched,True,True,True,1,7,动能|弹性势能|重力势能|冲量|动量|力|压强,3,重力势能:1.846347|动能:1.780443|力:1.318364|弹性势能:1.222254|动量:0.631253|冲量:0.506014|压强:-0.021933,1,0.84820994,1.78603649,1.84634699,0.065904,重力势能,8e1cfed4997ef57b44103cc6,0.84820994,1.78603649,1.84634699,0.065904,zh-s14,zh-s14-p02,1,0.81482428,3,0.89,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,9e346f2ad4eed1340936215ca786f7ddc4260b4f9106d26d01167392b70af2c0,748e474d6df34cb707cde02ea5d84634022aad5f01551d74f7c0aee4db653edd,PROVIDER_READINESS_NOT_EVALUATED,TERM_SCOPE_CONFUSION,en-s03,en-s03-p02,True,QUALIFIED,0.88675448,,evidence-qualification:82ca05f6e603ce28684dd29cbcc732c4953d17a1314a9206849a5e4c5918a436,False
