concept_id,english_binding,retrieval_eligible,identification_eligible,pairing_eligible,evidence_qualification_eligible,selected_pair_text,selected_pair_uid,pair_consistency_score,qualification_decision,qualification_score,qualification_reason_codes,false_qualification,false_qualification_category,primary_attribution
cx-7f01,matched,True,True,True,True,位移,1e6c76eab631f24164488494,4.31921101,QUALIFIED,0.9562835,,False,,PROVIDER_READINESS_NOT_EVALUATED
cx-7f02,ambiguous,False,False,False,False,,,,,,,False,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS
cx-7f03,ambiguous,False,False,False,False,,,,,,,False,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS
cx-7f04,missing,False,False,False,False,,,,,,,False,,UPSTREAM_ENGLISH_EXTRACTION_MISSING
cx-7f05,matched,True,True,True,False,冲量,fd6e817b1826b9d26efd4a8b,0.96144986,REVIEW_REQUIRED,0.95577539,EVIDENCE_TERM_SCOPE_RISK,False,TERM_SCOPE_FALSE_ACCEPT,UPSTREAM_BILINGUAL_SEMANTIC_PAIRING_MISS
cx-7f06,ambiguous,False,False,False,False,,,,,,,False,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS
cx-7f07,ambiguous,False,False,False,False,,,,,,,False,,UPSTREAM_ENGLISH_BINDING_AMBIGUOUS
cx-7f08,missing,False,False,False,False,,,,,,,False,,UPSTREAM_ENGLISH_EXTRACTION_MISSING
cx-7f09,matched,True,True,True,True,动能,5e0c43cbc336794a320b5f16,3.63465834,REVIEW_REQUIRED,0.95564053,EVIDENCE_TERM_SCOPE_RISK,False,,EVIDENCE_QUALIFICATION_REVIEW_REQUIRED
cx-7f10,matched,True,True,True,True,重力势能,8e1cfed4997ef57b44103cc6,3.38997674,REVIEW_REQUIRED,0.88675448,EVIDENCE_TERM_SCOPE_RISK,False,,EVIDENCE_QUALIFICATION_REVIEW_REQUIRED
cx-7f11,matched,True,True,True,True,功,d860088c0388afba3e059354,0.35918945,REVIEW_REQUIRED,0.95808374,EVIDENCE_TERM_SCOPE_RISK,False,,EVIDENCE_QUALIFICATION_REVIEW_REQUIRED
cx-7f12,matched,True,True,True,True,功率,6829e14418ccdaad1db27e2a,3.65916395,REVIEW_REQUIRED,0.95926569,EVIDENCE_TERM_SCOPE_RISK,False,,EVIDENCE_QUALIFICATION_REVIEW_REQUIRED
cx-7f13,matched,True,True,True,True,机械能,dd400902de40153ed360e579,4.36106396,QUALIFIED,0.91420795,,False,,PROVIDER_READINESS_NOT_EVALUATED
cx-7f14,matched,True,True,True,True,动量守恒定律,e72c13c60962729310bee071,2.66474867,REVIEW_REQUIRED,0.95216089,EVIDENCE_TERM_SCOPE_RISK,False,,EVIDENCE_QUALIFICATION_REVIEW_REQUIRED
cx-7f15,matched,True,True,True,False,机械能,9ea135651560a565c0ceb43b,3.91995716,REVIEW_REQUIRED,0.91278516,EVIDENCE_TERM_SCOPE_RISK,False,TERM_SCOPE_FALSE_ACCEPT,UPSTREAM_BILINGUAL_SEMANTIC_PAIRING_MISS
cx-7f16,missing,False,False,False,False,,,,,,,False,,UPSTREAM_ENGLISH_EXTRACTION_MISSING
cx-7f17,matched,True,False,False,False,角速度,c492e73bb18ac5b8a2cd8f6f,2.04180241,REVIEW_REQUIRED,0.90539531,EVIDENCE_TERM_SCOPE_RISK,False,UPSTREAM_STATE_GATE_BYPASS,UPSTREAM_CROSS_LANGUAGE_RETRIEVAL_MISS
cx-7f18,matched,True,True,True,True,角速度,5159b6fb4916d5f06dc26f2d,4.76261806,QUALIFIED,0.96357991,,False,,PROVIDER_READINESS_NOT_EVALUATED
cx-7f19,matched,True,False,False,False,力矩,75071698a3faf38fb3c647f0,3.9725585,REVIEW_REQUIRED,0.90345789,EVIDENCE_TERM_SCOPE_RISK,False,UPSTREAM_STATE_GATE_BYPASS,UPSTREAM_CROSS_LANGUAGE_RETRIEVAL_MISS
cx-7f20,matched,True,True,True,True,力矩,7877d6bc7d1bf278851f2468,3.69509125,REVIEW_REQUIRED,0.95888594,EVIDENCE_TERM_SCOPE_RISK,False,,EVIDENCE_QUALIFICATION_REVIEW_REQUIRED
cx-7f21,matched,True,True,False,False,电势,38e3753d41e98b3e2484ed98,3.02859116,REVIEW_REQUIRED,0.95844805,EVIDENCE_TERM_SCOPE_RISK,False,UPSTREAM_STATE_GATE_BYPASS,UPSTREAM_CHINESE_TERM_IDENTIFICATION_MISSING
cx-7f22,matched,True,False,False,False,力,c38b1a87a3df2c1020b183cd,1.94361317,REVIEW_REQUIRED,0.83440503,EVIDENCE_PAIR_MARGIN_INSUFFICIENT|EVIDENCE_TERM_SCOPE_RISK,False,,UPSTREAM_CROSS_LANGUAGE_RETRIEVAL_MISS
cx-7f23,matched,True,True,True,True,电势,c2ca09c86ee062dc6871558b,2.23805594,REVIEW_REQUIRED,0.92989871,EVIDENCE_TERM_SCOPE_RISK,False,,EVIDENCE_QUALIFICATION_REVIEW_REQUIRED
cx-7f24,matched,True,True,True,True,电势差,d57b6fd62b0ef443dd6dd649,1.27942073,REVIEW_REQUIRED,0.88783811,EVIDENCE_TERM_SCOPE_RISK,False,,EVIDENCE_QUALIFICATION_REVIEW_REQUIRED
cx-7f25,matched,True,True,True,False,功,466e6eab4d0db2aa9b9abca2,2.99945307,REVIEW_REQUIRED,0.90128186,EVIDENCE_TERM_SCOPE_RISK,False,TERM_SCOPE_FALSE_ACCEPT,UPSTREAM_BILINGUAL_SEMANTIC_PAIRING_MISS
