concept_id,qualification_decision,formal_input_complete,readiness_decision,execution_admission,reason_scope
cx-7f01,QUALIFIED,True,READY,True,
cx-7f02,MISSING,False,NOT_READY,False,qualification_not_approved
cx-7f03,MISSING,False,NOT_READY,False,qualification_not_approved
cx-7f04,MISSING,False,NOT_READY,False,qualification_not_approved
cx-7f05,REVIEW_REQUIRED,False,REVIEW_REQUIRED,False,qualification_review_required
cx-7f06,MISSING,False,NOT_READY,False,qualification_not_approved
cx-7f07,MISSING,False,NOT_READY,False,qualification_not_approved
cx-7f08,MISSING,False,NOT_READY,False,qualification_not_approved
cx-7f09,REVIEW_REQUIRED,False,REVIEW_REQUIRED,False,qualification_review_required
cx-7f10,REVIEW_REQUIRED,False,REVIEW_REQUIRED,False,qualification_review_required
cx-7f11,REVIEW_REQUIRED,False,REVIEW_REQUIRED,False,qualification_review_required
cx-7f12,REVIEW_REQUIRED,False,REVIEW_REQUIRED,False,qualification_review_required
cx-7f13,QUALIFIED,True,READY,True,
cx-7f14,REVIEW_REQUIRED,False,REVIEW_REQUIRED,False,qualification_review_required
cx-7f15,REVIEW_REQUIRED,False,REVIEW_REQUIRED,False,qualification_review_required
cx-7f16,MISSING,False,NOT_READY,False,qualification_not_approved
cx-7f17,REVIEW_REQUIRED,False,REVIEW_REQUIRED,False,qualification_review_required
cx-7f18,QUALIFIED,True,READY,True,
cx-7f19,REVIEW_REQUIRED,False,REVIEW_REQUIRED,False,qualification_review_required
cx-7f20,REVIEW_REQUIRED,False,REVIEW_REQUIRED,False,qualification_review_required
cx-7f21,REVIEW_REQUIRED,False,REVIEW_REQUIRED,False,qualification_review_required
cx-7f22,REVIEW_REQUIRED,False,REVIEW_REQUIRED,False,qualification_review_required
cx-7f23,REVIEW_REQUIRED,False,REVIEW_REQUIRED,False,qualification_review_required
cx-7f24,REVIEW_REQUIRED,False,REVIEW_REQUIRED,False,qualification_review_required
cx-7f25,REVIEW_REQUIRED,False,REVIEW_REQUIRED,False,qualification_review_required
